numero_documento,nombre_programa,fecha_graduacion
1709771337,INGENIERIA ELECTRONICA,18/03/2024
1715956298,TECNOLOGIA INDUSTRIAL,05/09/2023
1030483242,INGENIERIA ELECTRONICA,12/12/2023
1334713375,TECNOLOGIA EN SISTEMAS,13/03/2024
1064892428,TECNOLOGIA INDUSTRIAL,31/08/2022
1506087783,TECNOLOGIA EN SISTEMAS,11/11/2022
1335494372,INGENIERIA DE SISTEMAS,08/11/2022
1452573599,INGENIERIA INDUSTRIAL,16/05/2023
1304151267,CONTADURIA PUBLICA,25/02/2022
1495003384,INGENIERIA INDUSTRIAL,29/07/2024
1089444921,INGENIERIA DE SISTEMAS,06/03/2024
1677903238,ADMINISTRACION DE EMPRESAS,26/09/2023
1429537676,CONTADURIA PUBLICA,01/02/2023
1256670440,TECNOLOGIA INDUSTRIAL,22/11/2023
1619215530,DERECHO,17/11/2024
1707736588,TECNOLOGIA INDUSTRIAL,09/05/2023
1075042238,TECNOLOGIA INDUSTRIAL,22/05/2022
1852706189,CONTADURIA PUBLICA,07/09/2022
1308067702,INGENIERIA INDUSTRIAL,16/01/2023
1371271259,CONTADURIA PUBLICA,30/05/2022
1088636960,DERECHO,15/08/2023
1834449668,TECNOLOGIA INDUSTRIAL,06/09/2023
1143605516,TECNOLOGIA INDUSTRIAL,08/10/2023
1090410528,CONTADURIA PUBLICA,22/12/2024
1223942462,INGENIERIA ELECTRONICA,26/01/2024
1004636634,ADMINISTRACION DE EMPRESAS,09/07/2024
1567756050,TECNOLOGIA EN SISTEMAS,24/12/2023
1291571001,CONTADURIA PUBLICA,23/09/2024
1818079228,INGENIERIA INDUSTRIAL,07/10/2023
1505661191,DERECHO,05/03/2023
1837125322,INGENIERIA DE SISTEMAS,24/05/2022
1578879158,INGENIERIA ELECTRONICA,15/05/2022
1734992279,CONTADURIA PUBLICA,14/11/2023
1105231565,CONTADURIA PUBLICA,28/07/2022
1689198080,CONTADURIA PUBLICA,22/12/2022
1544854697,DERECHO,17/08/2023
1688080341,INGENIERIA ELECTRONICA,26/10/2024
1137285267,CONTADURIA PUBLICA,23/10/2024
1820636285,CONTADURIA PUBLICA,04/06/2022
1823239706,DERECHO,01/03/2023
1559407292,TECNOLOGIA EN SISTEMAS,09/04/2023
1689304439,INGENIERIA DE SISTEMAS,30/06/2023
1524616518,INGENIERIA DE SISTEMAS,12/09/2022
1275959597,DERECHO,29/05/2023
1661939160,DERECHO,18/10/2022
1803920403,TECNOLOGIA EN SISTEMAS,18/11/2023
1419686900,TECNOLOGIA EN SISTEMAS,09/03/2023
1793903138,INGENIERIA DE SISTEMAS,23/07/2023
1800903962,ADMINISTRACION DE EMPRESAS,04/06/2024
1068811633,TECNOLOGIA INDUSTRIAL,11/10/2024
1558686175,TECNOLOGIA INDUSTRIAL,22/01/2024
1096943291,ADMINISTRACION DE EMPRESAS,05/05/2023
1067106876,TECNOLOGIA EN SISTEMAS,17/08/2024
1773319109,DERECHO,24/10/2023
1052924003,CONTADURIA PUBLICA,06/01/2023
1812207884,INGENIERIA ELECTRONICA,01/03/2024
1394835208,ADMINISTRACION DE EMPRESAS,29/04/2023
1135515570,INGENIERIA ELECTRONICA,20/01/2024
1227961256,TECNOLOGIA INDUSTRIAL,22/01/2024
1385755892,INGENIERIA ELECTRONICA,28/09/2023
1170727421,INGENIERIA DE SISTEMAS,10/04/2023
1397913953,INGENIERIA INDUSTRIAL,28/08/2024
1718497713,DERECHO,18/10/2022
1405768035,DERECHO,21/10/2022
1367321677,DERECHO,15/03/2023
1377561634,DERECHO,14/04/2023
1364939976,INGENIERIA ELECTRONICA,13/07/2024
1784657927,CONTADURIA PUBLICA,13/05/2022
1445524694,TECNOLOGIA INDUSTRIAL,22/01/2024
1366236418,TECNOLOGIA INDUSTRIAL,23/07/2022
1300891859,TECNOLOGIA EN SISTEMAS,23/11/2023
1362943180,DERECHO,22/08/2022
1451189586,ADMINISTRACION DE EMPRESAS,17/12/2023
1142599435,DERECHO,16/05/2023
1437935996,ADMINISTRACION DE EMPRESAS,05/02/2024
1265365289,DERECHO,05/02/2022
1227619480,INGENIERIA ELECTRONICA,11/10/2024
1204868624,INGENIERIA DE SISTEMAS,13/06/2024
1054112869,ADMINISTRACION DE EMPRESAS,28/12/2023
1537382833,INGENIERIA INDUSTRIAL,01/06/2024
1196564272,ADMINISTRACION DE EMPRESAS,19/04/2024
1829694284,INGENIERIA ELECTRONICA,01/11/2022
1417599430,INGENIERIA ELECTRONICA,02/05/2023
1643453553,DERECHO,21/12/2024
1133739652,TECNOLOGIA EN SISTEMAS,01/01/2024
1466416015,ADMINISTRACION DE EMPRESAS,03/02/2022
1896247273,INGENIERIA DE SISTEMAS,07/12/2023
1196783248,TECNOLOGIA INDUSTRIAL,30/12/2022
1784551342,INGENIERIA INDUSTRIAL,28/02/2023
1722360953,ADMINISTRACION DE EMPRESAS,12/11/2024
1437139221,ADMINISTRACION DE EMPRESAS,30/08/2024
1488405637,DERECHO,30/08/2023
1274866676,INGENIERIA ELECTRONICA,11/08/2023
1797721142,DERECHO,09/11/2024
1730568593,INGENIERIA ELECTRONICA,20/07/2022
1522645753,INGENIERIA INDUSTRIAL,14/02/2024
1189872453,INGENIERIA ELECTRONICA,09/09/2022
1012080194,CONTADURIA PUBLICA,09/06/2022
1538955813,DERECHO,25/09/2022
1109180805,DERECHO,12/07/2022
1880843733,TECNOLOGIA EN SISTEMAS,24/01/2024
1600581612,ADMINISTRACION DE EMPRESAS,16/08/2023
1303843066,INGENIERIA DE SISTEMAS,02/09/2024
1607835414,INGENIERIA DE SISTEMAS,07/06/2024
1047690455,INGENIERIA INDUSTRIAL,16/03/2024
1498562126,INGENIERIA ELECTRONICA,15/12/2024
1137581115,ADMINISTRACION DE EMPRESAS,14/12/2022
1134184070,CONTADURIA PUBLICA,17/02/2024
1163249480,ADMINISTRACION DE EMPRESAS,30/06/2024
1613762827,TECNOLOGIA INDUSTRIAL,08/12/2022
1664030729,TECNOLOGIA INDUSTRIAL,31/08/2023
1624149212,INGENIERIA DE SISTEMAS,14/05/2024
1277682847,INGENIERIA ELECTRONICA,19/03/2022
1470340465,TECNOLOGIA INDUSTRIAL,07/07/2022
1700512321,TECNOLOGIA EN SISTEMAS,16/09/2024
1774905493,CONTADURIA PUBLICA,09/02/2023
1224215843,INGENIERIA ELECTRONICA,26/08/2023
1408728443,INGENIERIA INDUSTRIAL,20/03/2024
1778258171,DERECHO,11/11/2023
1678948691,ADMINISTRACION DE EMPRESAS,01/04/2023
1344912694,DERECHO,12/07/2022
1384221873,ADMINISTRACION DE EMPRESAS,04/02/2022
1459345523,DERECHO,19/11/2023
1592823022,INGENIERIA INDUSTRIAL,18/12/2022
1000815577,INGENIERIA DE SISTEMAS,01/09/2022
1670586084,CONTADURIA PUBLICA,02/06/2023
1830597301,CONTADURIA PUBLICA,18/03/2022
1518993725,TECNOLOGIA INDUSTRIAL,06/04/2024
1857486045,TECNOLOGIA INDUSTRIAL,14/02/2022
1579419949,INGENIERIA ELECTRONICA,13/12/2022
1539208107,INGENIERIA INDUSTRIAL,19/10/2022
1845267890,CONTADURIA PUBLICA,02/05/2023
1569730705,INGENIERIA ELECTRONICA,05/12/2023
1365380600,TECNOLOGIA INDUSTRIAL,14/10/2023
1140934349,CONTADURIA PUBLICA,03/04/2024
1241800170,INGENIERIA DE SISTEMAS,15/12/2023
1457754947,CONTADURIA PUBLICA,05/12/2024
1423572118,INGENIERIA DE SISTEMAS,19/09/2024
1462201557,DERECHO,28/01/2023
1440916159,ADMINISTRACION DE EMPRESAS,22/02/2022
1094373707,DERECHO,04/06/2023
1016037548,INGENIERIA ELECTRONICA,03/11/2022
1417023340,ADMINISTRACION DE EMPRESAS,01/08/2023
1614115048,INGENIERIA ELECTRONICA,28/01/2023
1446551933,INGENIERIA DE SISTEMAS,24/05/2023
1545410601,INGENIERIA DE SISTEMAS,11/01/2024
1375118943,INGENIERIA INDUSTRIAL,10/06/2022
1324832251,CONTADURIA PUBLICA,29/09/2022
1326310189,INGENIERIA ELECTRONICA,13/02/2023
1198256477,TECNOLOGIA EN SISTEMAS,30/07/2022
1632280119,INGENIERIA DE SISTEMAS,12/03/2022
1347520193,DERECHO,20/01/2023
1646091906,INGENIERIA INDUSTRIAL,17/05/2023
1712002377,DERECHO,28/02/2023
1789330878,INGENIERIA ELECTRONICA,05/02/2022
1724697767,INGENIERIA DE SISTEMAS,06/12/2022
1360255706,CONTADURIA PUBLICA,25/05/2022
1639533875,TECNOLOGIA EN SISTEMAS,23/12/2024
1674492332,INGENIERIA ELECTRONICA,27/04/2024
1278567822,INGENIERIA DE SISTEMAS,23/01/2022
1235350687,TECNOLOGIA INDUSTRIAL,10/08/2024
1077994830,TECNOLOGIA INDUSTRIAL,06/11/2024
1082667801,INGENIERIA ELECTRONICA,09/08/2023
1029992801,TECNOLOGIA INDUSTRIAL,12/03/2023
1421832246,CONTADURIA PUBLICA,10/03/2022
1756599562,TECNOLOGIA INDUSTRIAL,28/11/2022
1505580090,ADMINISTRACION DE EMPRESAS,23/05/2023
1768745010,DERECHO,05/05/2024
1102024918,TECNOLOGIA INDUSTRIAL,11/07/2023
1806687682,INGENIERIA INDUSTRIAL,04/05/2024
1847800585,INGENIERIA INDUSTRIAL,31/10/2023
1678023438,TECNOLOGIA EN SISTEMAS,24/04/2023
1147640301,TECNOLOGIA INDUSTRIAL,07/05/2022
1328697788,INGENIERIA DE SISTEMAS,04/08/2022
1208289018,DERECHO,30/04/2022
1094842748,DERECHO,17/05/2024
1823255878,INGENIERIA ELECTRONICA,30/12/2023
1214476745,INGENIERIA ELECTRONICA,23/02/2023
1572436095,INGENIERIA DE SISTEMAS,25/05/2022
1619980124,CONTADURIA PUBLICA,19/04/2023
1701942497,ADMINISTRACION DE EMPRESAS,13/01/2024
1436137038,INGENIERIA INDUSTRIAL,19/12/2024
1288000172,INGENIERIA INDUSTRIAL,30/11/2024
1492971067,CONTADURIA PUBLICA,06/11/2023
1107302265,ADMINISTRACION DE EMPRESAS,13/09/2024
1793784351,TECNOLOGIA INDUSTRIAL,26/02/2024
1339504423,INGENIERIA DE SISTEMAS,03/09/2024
1048277460,TECNOLOGIA EN SISTEMAS,10/04/2024
1879089459,ADMINISTRACION DE EMPRESAS,18/08/2023
1763960564,ADMINISTRACION DE EMPRESAS,05/08/2024
1671481145,INGENIERIA INDUSTRIAL,17/01/2023
1356457103,CONTADURIA PUBLICA,05/05/2023
1243391412,CONTADURIA PUBLICA,10/04/2022
1585403276,INGENIERIA ELECTRONICA,08/05/2022
1639931383,TECNOLOGIA INDUSTRIAL,18/12/2024
1623537327,INGENIERIA DE SISTEMAS,09/10/2024
1160261051,INGENIERIA DE SISTEMAS,12/03/2024
1398703454,INGENIERIA INDUSTRIAL,09/11/2023
1045780147,TECNOLOGIA EN SISTEMAS,21/02/2023
1499836153,CONTADURIA PUBLICA,14/07/2024
1002644082,CONTADURIA PUBLICA,02/05/2024
1598050040,TECNOLOGIA EN SISTEMAS,30/04/2023
1294218249,TECNOLOGIA EN SISTEMAS,24/03/2024
1094315955,INGENIERIA ELECTRONICA,21/05/2023
1703592075,DERECHO,26/11/2022
1184676201,INGENIERIA ELECTRONICA,22/04/2022
1352887963,INGENIERIA INDUSTRIAL,13/09/2024
1023678946,TECNOLOGIA EN SISTEMAS,14/12/2023
1792522615,TECNOLOGIA INDUSTRIAL,08/09/2024
1398631063,TECNOLOGIA EN SISTEMAS,13/08/2022
1156111196,INGENIERIA ELECTRONICA,08/05/2024
1801399246,INGENIERIA DE SISTEMAS,23/04/2022
1073920525,TECNOLOGIA INDUSTRIAL,31/03/2024
1153731708,INGENIERIA INDUSTRIAL,13/07/2022
1298973400,INGENIERIA DE SISTEMAS,01/01/2024
1734208469,INGENIERIA ELECTRONICA,31/10/2024
1112804550,CONTADURIA PUBLICA,11/12/2024
1115944223,INGENIERIA INDUSTRIAL,25/12/2022
1564214645,TECNOLOGIA EN SISTEMAS,26/08/2023
1233492564,TECNOLOGIA EN SISTEMAS,15/08/2023
1444753514,INGENIERIA DE SISTEMAS,11/11/2022
1566111674,INGENIERIA DE SISTEMAS,20/11/2024
1101652416,INGENIERIA DE SISTEMAS,15/03/2024
1429324529,CONTADURIA PUBLICA,01/05/2023
1547403198,INGENIERIA INDUSTRIAL,20/01/2024
1540420711,TECNOLOGIA INDUSTRIAL,10/11/2022
1308808377,DERECHO,29/06/2022
1527560970,INGENIERIA ELECTRONICA,04/01/2023
1227432232,DERECHO,27/11/2024
1196888812,TECNOLOGIA INDUSTRIAL,13/06/2024
1441600310,INGENIERIA INDUSTRIAL,04/01/2023
1070722000,INGENIERIA DE SISTEMAS,27/09/2023
1192961662,TECNOLOGIA EN SISTEMAS,21/04/2022
1615118331,CONTADURIA PUBLICA,13/01/2024
1141566201,INGENIERIA ELECTRONICA,18/11/2023
1146975064,INGENIERIA ELECTRONICA,14/08/2024
1572551250,DERECHO,25/11/2024
1363336457,INGENIERIA DE SISTEMAS,10/06/2023
1096998744,ADMINISTRACION DE EMPRESAS,21/05/2024
1853586983,INGENIERIA ELECTRONICA,21/02/2022
1459104707,TECNOLOGIA INDUSTRIAL,15/03/2023
1024186104,INGENIERIA ELECTRONICA,17/07/2023
1684562550,INGENIERIA DE SISTEMAS,18/12/2023
1670669135,CONTADURIA PUBLICA,08/07/2024
1316804805,TECNOLOGIA INDUSTRIAL,05/12/2022
1569371160,INGENIERIA DE SISTEMAS,24/02/2024
1850967448,INGENIERIA INDUSTRIAL,31/08/2024
1180902730,TECNOLOGIA INDUSTRIAL,19/11/2023
1623843887,ADMINISTRACION DE EMPRESAS,30/09/2023
1121310921,TECNOLOGIA INDUSTRIAL,01/09/2023
1184890130,TECNOLOGIA INDUSTRIAL,25/08/2024
1099900768,CONTADURIA PUBLICA,25/07/2022
1754323534,TECNOLOGIA INDUSTRIAL,18/02/2024
1624690190,INGENIERIA DE SISTEMAS,28/12/2023
1312660056,DERECHO,20/12/2024
1757434311,DERECHO,26/05/2022
1057767598,ADMINISTRACION DE EMPRESAS,17/07/2023
1581320551,TECNOLOGIA INDUSTRIAL,08/05/2022
