PEGE_DOCUMENTOIDENTIDAD,PROG_CODIGOICFES,PERIODO,PENG_PRIMERNOMBRE,PENG_PRIMERAPELLIDO,PENG_SEGUNDONOMBRE,PENG_SEGUNDOAPELLIDO,PEGE_MAIL,PEGE_TELEFONOCELULAR,PEGE_TELEFONO,ESTP_FECHAINGRESO,ESTP_CODIGOMATRICULA,ESTP_ID,FRAN_DESCRIPCION,UNID_NOMBRE,MAAC_PROMEDIO,ESTP_PROMEDIOGENERAL,CATE_DESCRIPCION,tipodocumento,fechanacimiento,genero
1429537676,10925,2023-2,IVAN,VARGAS,FERNANDO,RIOS,ivan.vargas55@correo.edu.co,3174414369,6074861861,03/07/2023,2023-02,ECM-20232-055,NOCTURNA,CENTRO,3.4,4.2,ACTIVO,CC,28/05/1997,F
1256670440,10922,2021-2,JULIAN,GUTIERREZ,ENRIQUE,MORA,julian.gutierrez56@correo.edu.co,3976531021,6073280199,03/07/2021,2021-02,ECM-20212-056,SABATINA,NORTE,3.4,3.6,INSCRITO,CC,08/03/2001,M
1619215530,10923,2023-2,OSCAR,GUTIERREZ,VICTORIA,QUINTERO,oscar.gutierrez57@correo.edu.co,3814497959,6072147470,06/07/2023,2023-02,ECM-20232-057,SABATINA,CENTRO,3.8,3.6,INSCRITO,CC,21/06/1999,F
1707736588,18271,2022-1,ALEJANDRO,VARGAS,ELENA,BLANCO,alejandro.vargas58@correo.edu.co,3615504586,6075095756,03/02/2022,2022-01,ECM-20221-058,NOCTURNA,CENTRO,4.6,2.9,ACTIVO,CC,07/06/1999,F
1075042238,18272,2023-2,JULIAN,GOMEZ,ERNESTO,MORA,julian.gomez59@correo.edu.co,3540042395,6072091132,08/07/2023,2023-02,ECM-20232-059,SABATINA,NORTE,2.8,4.0,MATRICULADO,CC,25/03/2002,M
1852706189,10922,2018-2,OSCAR,LOPEZ,CRISTINA,ROJAS,oscar.lopez60@correo.edu.co,3130702906,6076049752,01/07/2018,2018-02,ECM-20182-060,NOCTURNA,CENTRO,3.6,4.9,MATRICULADO,CC,24/05/2000,M
1308067702,18271,2020-1,NATALIA,VARGAS,RODRIGO,NIETO,natalia.vargas61@correo.edu.co,3589864335,6072233784,08/02/2020,2020-01,ECM-20201-061,NOCTURNA,PRINCIPAL,2.6,2.9,ACTIVO,CC,24/06/2001,F
1371271259,18272,2022-1,ALEJANDRO,JIMENEZ,MAURICIO,BLANCO,alejandro.jimenez62@correo.edu.co,3365996281,6071848142,05/02/2022,2022-01,ECM-20221-062,SABATINA,CENTRO,3.2,4.2,INSCRITO,CC,05/06/1995,F
1088636960,18272,2019-2,ANA,JIMENEZ,VICTORIA,NIETO,ana.jimenez63@correo.edu.co,3612076692,6072315356,06/07/2019,2019-02,ECM-20192-063,SABATINA,NORTE,3.5,4.3,MATRICULADO,CC,23/11/1999,M
1834449668,10924,2020-1,PAULA,GUTIERREZ,EDUARDO,SILVA,paula.gutierrez64@correo.edu.co,3445587644,6073568647,11/02/2020,2020-01,ECM-20201-064,NOCTURNA,NORTE,3.0,4.8,INSCRITO,CC,26/01/1997,M
1143605516,10923,2018-2,OSCAR,PEREZ,CRISTINA,PALACIOS,oscar.perez65@correo.edu.co,3136741761,6076556300,03/07/2018,2018-02,ECM-20182-065,NOCTURNA,SUR,2.9,3.1,INSCRITO,CC,18/06/2000,M
1090410528,18271,2019-2,NATALIA,PEREZ,JOSE,ORTEGA,natalia.perez66@correo.edu.co,3694148774,6076790962,14/07/2019,2019-02,ECM-20192-066,DIURNA,PRINCIPAL,2.9,2.6,ACTIVO,CC,27/05/1995,M
1223942462,10925,2021-1,LAURA,ALVAREZ,LUCIA,MOLINA,laura.alvarez67@correo.edu.co,3922789500,6077365960,10/02/2021,2021-01,ECM-20211-067,NOCTURNA,PRINCIPAL,4.5,2.5,ACTIVO,CC,08/04/1997,M
1004636634,10923,2018-1,JUAN,HERNANDEZ,MAURICIO,RAMOS,juan.hernandez68@correo.edu.co,3312750320,6079001803,13/02/2018,2018-01,ECM-20181-068,NOCTURNA,PRINCIPAL,4.2,4.2,ACTIVO,CC,13/10/2003,F
1567756050,10923,2022-2,DANIELA,GUTIERREZ,HUGO,NIETO,daniela.gutierrez69@correo.edu.co,3110755806,6072391987,15/07/2022,2022-02,ECM-20222-069,DIURNA,NORTE,3.2,2.5,INSCRITO,CC,12/07/2000,M
1291571001,10923,2024-1,ANDREA,DIAZ,CLAUDIA,MORA,andrea.diaz70@correo.edu.co,3661795796,6078430198,05/02/2024,2024-01,ECM-20241-070,NOCTURNA,SUR,2.7,4.1,INSCRITO,CC,17/02/2003,F
1818079228,10922,2018-1,PAULA,TORRES,ALBERTO,VEGA,paula.torres71@correo.edu.co,3172018920,6073817522,08/02/2018,2018-01,ECM-20181-071,NOCTURNA,SUR,4.7,4.0,MATRICULADO,CC,29/12/1995,M
1505661191,18271,2019-2,OSCAR,ROMERO,GUILLERMO,ACOSTA,oscar.romero72@correo.edu.co,3572588568,6072291141,14/07/2019,2019-02,ECM-20192-072,SABATINA,NORTE,4.2,4.9,INSCRITO,CC,25/08/2001,M
1837125322,18272,2020-2,MARIA,MARTINEZ,ERNESTO,MORA,maria.martinez73@correo.edu.co,3470242602,6077672712,11/07/2020,2020-02,ECM-20202-073,DIURNA,PRINCIPAL,4.0,3.1,MATRICULADO,CC,10/06/1999,F
1578879158,10926,2019-1,LAURA,MARTINEZ,ALBERTO,VEGA,laura.martinez74@correo.edu.co,3927839066,6072906858,01/02/2019,2019-01,ECM-20191-074,SABATINA,NORTE,2.8,2.9,INSCRITO,CC,22/07/1995,M
1734992279,10924,2021-1,VALENTINA,PEREZ,MAURICIO,VEGA,valentina.perez75@correo.edu.co,3878544667,6073234418,03/02/2021,2021-01,ECM-20211-075,NOCTURNA,PRINCIPAL,3.0,3.2,MATRICULADO,CC,01/03/1997,F
1105231565,10925,2023-2,SERGIO,GARCIA,ENRIQUE,SUAREZ,sergio.garcia76@correo.edu.co,3836986474,6079047490,08/07/2023,2023-02,ECM-20232-076,DIURNA,PRINCIPAL,4.9,4.7,INSCRITO,CC,26/06/2000,M
1689198080,10923,2021-2,SEBASTIAN,JIMENEZ,ISABEL,ACOSTA,sebastian.jimenez77@correo.edu.co,3490419563,6071971477,08/07/2021,2021-02,ECM-20212-077,SABATINA,CENTRO,4.3,4.8,INSCRITO,CC,02/02/1999,F
1544854697,10924,2023-2,JUAN,RODRIGUEZ,EDUARDO,MOLINA,juan.rodriguez78@correo.edu.co,3955303786,6073536188,07/07/2023,2023-02,ECM-20232-078,NOCTURNA,PRINCIPAL,4.8,4.1,ACTIVO,CC,10/05/2003,F
1688080341,18272,2022-1,JORGE,GARCIA,LUCIA,ROJAS,jorge.garcia79@correo.edu.co,3490185838,6079394803,01/02/2022,2022-01,ECM-20221-079,SABATINA,CENTRO,3.4,3.6,ACTIVO,CC,19/06/2002,M
1137285267,10923,2022-1,CAMILA,HERNANDEZ,CLAUDIA,VEGA,camila.hernandez80@correo.edu.co,3703550802,6074199358,02/02/2022,2022-01,ECM-20221-080,NOCTURNA,CENTRO,3.1,4.6,ACTIVO,CC,14/01/2001,F
1820636285,10924,2024-1,ANDRES,GARCIA,HUGO,SILVA,andres.garcia81@correo.edu.co,3880122971,6077842679,02/02/2024,2024-01,ECM-20241-081,DIURNA,NORTE,4.0,4.2,ACTIVO,CC,20/02/1999,F
1823239706,10923,2024-1,DANIELA,MORENO,MAURICIO,QUINTERO,daniela.moreno82@correo.edu.co,3623895456,6072804677,15/02/2024,2024-01,ECM-20241-082,SABATINA,SUR,4.7,3.4,INSCRITO,CC,04/01/2001,F
1559407292,10926,2019-1,SANTIAGO,MARTINEZ,ENRIQUE,RIOS,santiago.martinez83@correo.edu.co,3951733588,6074315043,07/02/2019,2019-01,ECM-20191-083,SABATINA,CENTRO,3.0,4.2,MATRICULADO,CC,30/11/1997,F
1689304439,10922,2023-1,DAVID,RAMIREZ,FERNANDO,BLANCO,david.ramirez84@correo.edu.co,3724291777,6072327202,12/02/2023,2023-01,ECM-20231-084,NOCTURNA,SUR,3.4,4.6,ACTIVO,CC,31/01/2000,F
1524616518,10925,2023-2,DAVID,DIAZ,ENRIQUE,QUINTERO,david.diaz85@correo.edu.co,3198110187,6071977543,07/07/2023,2023-02,ECM-20232-085,NOCTURNA,NORTE,4.3,2.6,INSCRITO,CC,23/04/2001,F
1275959597,10922,2024-1,SANTIAGO,MORENO,LUCIA,DELGADO,santiago.moreno86@correo.edu.co,3982423625,6079733274,05/02/2024,2024-01,ECM-20241-086,DIURNA,NORTE,2.6,4.1,INSCRITO,CC,19/03/2002,F
1661939160,10925,2023-2,CAROLINA,MARTINEZ,LUCIA,VEGA,carolina.martinez87@correo.edu.co,3611625912,6078572346,12/07/2023,2023-02,ECM-20232-087,NOCTURNA,NORTE,4.3,2.5,ACTIVO,CC,02/02/2001,M
1803920403,10924,2018-2,ANA,MARTINEZ,ELENA,SILVA,ana.martinez88@correo.edu.co,3788643659,6073090618,04/07/2018,2018-02,ECM-20182-088,SABATINA,PRINCIPAL,4.3,3.0,MATRICULADO,CC,24/02/1995,M
1419686900,10926,2023-1,LUIS,SANCHEZ,RODRIGO,VILLAMIZAR,luis.sanchez89@correo.edu.co,3689478911,6077879634,12/02/2023,2023-01,ECM-20231-089,NOCTURNA,SUR,3.6,4.8,MATRICULADO,CC,16/02/2002,M
1793903138,10923,2020-2,RICARDO,RUIZ,EDUARDO,RAMOS,ricardo.ruiz90@correo.edu.co,3231474788,6078264462,05/07/2020,2020-02,ECM-20202-090,NOCTURNA,SUR,4.3,3.4,MATRICULADO,CC,22/02/2001,M
1800903962,10923,2021-2,ANDREA,SANCHEZ,ERNESTO,RAMOS,andrea.sanchez91@correo.edu.co,3188893791,6072389580,11/07/2021,2021-02,ECM-20212-091,NOCTURNA,NORTE,4.9,2.6,ACTIVO,CC,13/03/1996,F
1068811633,10925,2023-1,FELIPE,ROMERO,ALBERTO,RIOS,felipe.romero92@correo.edu.co,3908799489,6073032623,02/02/2023,2023-01,ECM-20231-092,NOCTURNA,PRINCIPAL,2.9,3.3,INSCRITO,CC,08/07/1997,F
1558686175,10929,2023-2,MONICA,VARGAS,FERNANDO,REYES,monica.vargas93@correo.edu.co,3813007052,6074070346,10/07/2023,2023-02,ECM-20232-093,SABATINA,SUR,4.2,4.2,INSCRITO,CC,23/04/1998,F
1096943291,10922,2023-1,JULIAN,MEDINA,ELENA,VEGA,julian.medina94@correo.edu.co,3391490245,6072827192,02/02/2023,2023-01,ECM-20231-094,DIURNA,CENTRO,3.8,2.9,INSCRITO,CC,18/06/1997,M
1067106876,10926,2019-1,FELIPE,MARTINEZ,VICTORIA,RAMOS,felipe.martinez95@correo.edu.co,3176977701,6071781757,14/02/2019,2019-01,ECM-20191-095,SABATINA,PRINCIPAL,2.9,2.8,MATRICULADO,CC,07/09/1997,F
1773319109,18271,2018-1,ANA,MEDINA,MARCELA,QUINTERO,ana.medina96@correo.edu.co,3364281079,6079693108,06/02/2018,2018-01,ECM-20181-096,DIURNA,NORTE,4.7,3.8,MATRICULADO,CC,27/05/1999,M
1052924003,18272,2023-1,MARIA,CASTRO,HUGO,VILLAMIZAR,maria.castro97@correo.edu.co,3641568698,6078417700,08/02/2023,2023-01,ECM-20231-097,SABATINA,PRINCIPAL,4.0,3.0,INSCRITO,CC,09/07/2002,M
1812207884,10924,2022-2,VALENTINA,VARGAS,JOSE,MENDOZA,valentina.vargas98@correo.edu.co,3723025397,6073834932,10/07/2022,2022-02,ECM-20222-098,DIURNA,NORTE,4.8,3.6,MATRICULADO,CC,07/10/1997,M
1394835208,18272,2022-2,PEDRO,MARTINEZ,FERNANDO,HERRERA,pedro.martinez99@correo.edu.co,3121450517,6079846822,01/07/2022,2022-02,ECM-20222-099,SABATINA,PRINCIPAL,4.1,3.6,INSCRITO,CC,09/02/1998,M
1135515570,10929,2023-1,LAURA,MARTINEZ,ALBERTO,REYES,laura.martinez100@correo.edu.co,3339192792,6079318671,03/02/2023,2023-01,ECM-20231-100,NOCTURNA,SUR,4.0,3.5,MATRICULADO,CC,02/08/1998,M
1227961256,10929,2019-2,FELIPE,RUIZ,GUILLERMO,SUAREZ,felipe.ruiz101@correo.edu.co,3654145350,6079167831,06/07/2019,2019-02,ECM-20192-101,DIURNA,SUR,3.7,3.5,ACTIVO,CC,24/04/1995,F
1385755892,10922,2019-1,FELIPE,GUTIERREZ,ELENA,ROJAS,felipe.gutierrez102@correo.edu.co,3940857267,6075625029,10/02/2019,2019-01,ECM-20191-102,DIURNA,PRINCIPAL,4.4,4.7,MATRICULADO,CC,15/06/1995,M
1170727421,10926,2019-1,PEDRO,HERNANDEZ,CRISTINA,MORA,pedro.hernandez103@correo.edu.co,3407026998,6076929575,07/02/2019,2019-01,ECM-20191-103,NOCTURNA,NORTE,3.5,3.1,MATRICULADO,CC,13/09/1999,M
1397913953,18272,2022-2,IVAN,GOMEZ,ERNESTO,REYES,ivan.gomez104@correo.edu.co,3756829197,6072846958,13/07/2022,2022-02,ECM-20222-104,DIURNA,SUR,3.8,3.8,MATRICULADO,CC,27/09/1998,F
1718497713,18271,2019-1,ANDRES,GUTIERREZ,CLAUDIA,ORTEGA,andres.gutierrez105@correo.edu.co,3360112873,6071757952,09/02/2019,2019-01,ECM-20191-105,NOCTURNA,NORTE,4.9,3.0,INSCRITO,CC,28/05/2003,M
1405768035,10923,2023-2,IVAN,TORRES,CLAUDIA,NIETO,ivan.torres106@correo.edu.co,3220233425,6077087597,07/07/2023,2023-02,ECM-20232-106,DIURNA,NORTE,3.1,3.6,MATRICULADO,CC,06/08/2002,F
